Estado,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20
GUANAJUATO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,9.0,19.0,24.0,31.0,37.0,37.0,43.0,46.0,47.0,50.0,52.0,53.0,53.0,58.0,61.0,67.0,71.0,78.0,81.0,82.0,88.0,90.0,91.0,96.0,113.0,116.0
GUERRERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,8.0,8.0,8.0,11.0,13.0,14.0,15.0,18.0,20.0,25.0,26.0,30.0,32.0,37.0,47.0,49.0,54.0,56.0,70.0,77.0,88.0,97.0,100.0,110.0,110.0
HIDALGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,7.0,7.0,9.0,11.0,12.0,16.0,17.0,17.0,20.0,21.0,26.0,30.0,32.0,34.0,35.0,41.0,46.0,47.0,51.0,53.0,58.0,58.0,64.0,64.0,67.0,70.0,75.0
JALISCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,8.0,23.0,27.0,33.0,41.0,43.0,45.0,62.0,76.0,80.0,81.0,86.0,91.0,95.0,98.0,115.0,117.0,123.0,126.0,135.0,139.0,139.0,144.0,150.0,156.0,159.0,165.0,176.0,178.0,190.0,196.0
MICHOACÁN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,8.0,11.0,16.0,17.0,17.0,21.0,21.0,23.0,24.0,26.0,29.0,30.0,33.0,34.0,36.0,46.0,46.0,50.0,61.0,62.0,67.0,70.0,84.0,99.0,107.0
MORELOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,6.0,6.0,7.0,9.0,9.0,12.0,14.0,15.0,17.0,24.0,26.0,35.0,35.0,40.0,44.0,49.0,53.0,56.0,58.0,73.0,77.0
MÉXICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,8.0,9.0,17.0,20.0,21.0,24.0,27.0,34.0,35.0,37.0,42.0,63.0,81.0,111.0,124.0,140.0,154.0,166.0,173.0,187.0,204.0,261.0,320.0,354.0,399.0,470.0,498.0,523.0,558.0,602.0,659.0,695.0,754.0,786.0
NAYARIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,12.0,16.0,19.0,21.0,22.0,25.0,25.0,27.0,29.0,31.0,33.0
NUEVO LEÓN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,9.0,13.0,19.0,19.0,24.0,32.0,32.0,35.0,45.0,52.0,58.0,63.0,64.0,67.0,74.0,76.0,76.0,79.0,85.0,86.0,91.0,93.0,93.0,98.0,107.0,110.0,119.0,124.0,132.0,136.0,150.0,159.0,159.0,172.0
OAXACA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,7.0,8.0,11.0,12.0,14.0,14.0,15.0,20.0,22.0,22.0,22.0,25.0,27.0,35.0,37.0,40.0,41.0,43.0,43.0,44.0,46.0,50.0,53.0,56.0,62.0
PUEBLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,6.0,8.0,8.0,11.0,12.0,16.0,16.0,20.0,21.0,34.0,41.0,49.0,57.0,66.0,77.0,82.0,99.0,103.0,108.0,127.0,147.0,156.0,179.0,183.0,198.0,214.0,243.0,256.0,269.0,276.0,291.0,305.0,314.0,330.0
QUERETARO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,6.0,7.0,7.0,7.0,8.0,10.0,13.0,14.0,16.0,16.0,16.0,21.0,24.0,25.0,26.0,27.0,29.0,32.0,32.0,35.0,36.0,38.0,40.0,45.0,47.0,50.0,55.0,57.0,61.0,61.0,65.0,69.0,76.0,78.0,79.0
QUINTANA ROO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,4.0,4.0,9.0,11.0,11.0,12.0,16.0,22.0,23.0,29.0,29.0,34.0,38.0,42.0,47.0,51.0,55.0,65.0,76.0,86.0,115.0,135.0,143.0,159.0,163.0,216.0,223.0,239.0,245.0,269.0,276.0,280.0,315.0
SAN LUIS POTOSÍ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,12.0,12.0,16.0,16.0,17.0,19.0,20.0,24.0,25.0,25.0,30.0,33.0,35.0,35.0,37.0,37.0,41.0,43.0,47.0,48.0,51.0,53.0,55.0,55.0,56.0,56.0,58.0,59.0
SINALOA,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,8.0,10.0,14.0,21.0,24.0,30.0,40.0,49.0,54.0,79.0,90.0,97.0,111.0,125.0,138.0,171.0,214.0,229.0,245.0,261.0,292.0,327.0,374.0,413.0
SONORA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,8.0,9.0,10.0,14.0,17.0,17.0,21.0,22.0,23.0,26.0,28.0,30.0,35.0,46.0,48.0,55.0,65.0,69.0,72.0,73.0,78.0,89.0,97.0,108.0
TABASCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,6.0,6.0,7.0,9.0,21.0,25.0,33.0,44.0,49.0,58.0,62.0,72.0,86.0,97.0,107.0,108.0,112.0,113.0,134.0,143.0,153.0,156.0,195.0,210.0,233.0,250.0,278.0
TAMAULIPAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,13.0,15.0,19.0,26.0,31.0,32.0,43.0,46.0,48.0,49.0,53.0,53.0,55.0,60.0,78.0,91.0,117.0
TLAXCALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,8.0,8.0,11.0,14.0,18.0,23.0,29.0,34.0,38.0,40.0,49.0,51.0,58.0,62.0,67.0,72.0
VERACRUZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,7.0,7.0,7.0,7.0,14.0,23.0,23.0,25.0,27.0,28.0,28.0,30.0,36.0,37.0,40.0,41.0,46.0,49.0,54.0,63.0,73.0,78.0,82.0,94.0,106.0,112.0,121.0,124.0
YUCATÁN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,7.0,13.0,13.0,13.0,18.0,19.0,19.0,26.0,32.0,37.0,40.0,44.0,46.0,49.0,53.0,54.0,59.0,59.0,67.0,72.0,74.0,74.0,88.0,88.0,103.0,107.0,114.0,116.0,128.0,131.0,140.0,172.0
ZACATECAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,10.0,9.0,10.0,11.0,11.0,14.0,14.0,15.0,16.0,17.0,18.0,18.0,23.0,27.0
NACIONAL,1.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,12.0,12.0,26.0,41.0,53.0,82.0,93.0,118.0,164.0,203.0,251.0,316.0,367.0,405.0,475.0,585.0,717.0,848.0,993.0,1094.0,1215.0,1378.0,1510.0,1688.0,1890.0,2142.0,2439.0,2785.0,3181.0,3441.0,3844.0,4219.0,4661.0,5014.0,5399.0,5847.0,6297.0,6875.0,7497.0
