K1,K2,K3,K4,K5,K6,K7,K8,K9,K10
3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2
11,11,4,11,11,4,4,11,4,4
1,1,1,4,4,1,1,4,1,1
4,4,11,1,1,11,11,1,11,11
10,10,10,10,10,10,10,10,10,10
8,8,7,8,7,8,7,7,8,8
7,7,8,7,8,7,8,8,7,7
12,12,12,12,12,12,12,12,12,12
9,9,9,9,9,9,9,9,9,9
5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6
